  
      DIFFERENCES BETWEEN STEPHENS 1550 and SCRIVENER 1894
GA      1:1     Position  1 = H  [PAULOU
GA      3:8     Position 17 = eneuloghyhsontai  euloghyhsontai

EPH     1:1     Position  1 = PROS  [PAULOU
EPH     1:3     Position 21 = cristw  en
EPH     6:7     Position  4 = tw  wv

PHP     1:1     Position  1 = H  [PAULOU
PHP     1:30    Position  6 = idete  eidete
PHP     4:2     Position  1 = euwdian  euodian
PHP     4:12    Position  2 = de  kai

COL     1:1     Position  1 = H  [PAULOU
COL     1:2     Position  3 = kolassaiv  kolossaiv
COL     1:24    Position  1 = nun  ov
COL     2:13    Position 14 = sunezwpoihsen  sunezwopoihsen

1TH     1:1     Position  1 = H  [PAULOU
1TH     1:9     Position  8 = ecomen  escomen
1TH     2:15    Position 12 = umav  hmav

2TH     1:1     Position  1 = H  [PAULOU
2TH     2:4     Position  6 = panta  pan
2TH     3:5     Position 15 = upomonhn  thn

1TI     1:1     Position  1 = H  [PAULOU
1TI     1:2     Position 14 = cristou  ihsou
1TI     1:4     Position 12 = oikonomian  oikodomian
1TI     3:2     Position 10 = nhfaleon  nhfalion
1TI     3:11    Position  6 = nhfaleouv  nhfaliouv

2TI     1:1     Position  1 = H  [PAULOU
2TI     1:5     Position 20 = euneikh  eunikh
2TI     4:13    Position  2 = failonhn  felonhn

TIT     1:1     Position  1 = H  [PAULOU
TIT     2:10    Position 13 = umwn  hmwn

PHM     1:1     Position  1 = H  [PAULOU
PHM     1:7     Position  1 = carin  caran

HEB     1:1     Position  1 = H  [PAULOU
HEB     4:15    Position 11 = pepeiramenon  pepeirasmenon
HEB     6:10    Position 16 = enedeixasye  endeixasye
HEB     9:1     Position  7 = skhnh  dikaiwmata
HEB     10:10   Position  6 = oi  dia
HEB     11:4    Position 27 = laleitai  lalei
HEB     12:24   Position 12 = ton  to

JAS     1:1     Position  1 = IAKWBOU  [IAKWBOU
JAS     2:18    Position 15 = ek  cwriv
JAS     4:13    Position  6 = kai  h
JAS     4:15    Position 10 = zhswmen  zhsomen
JAS     5:9     Position 10 = krithv  o
JAS     5:12    Position 30 = eiv  upo

1PE     1:1     Position  1 = PETROU  [PETROU
1PE     1:4     Position 12 = hmav  umav
1PE     1:8     Position  3 = eidotev  idontev
1PE     3:21    Position  1 = o  w
1PE     4:8     Position 11 = agaph  h

2PE     1:1     Position  1 = EPISTOLH  [PETROU
2PE     1:21    Position 14 = oi  agioi
2PE     2:9     Position  5 = peirasmou  peirasmwn
2PE     2:18    Position  9 = aselgeiaiv  en
2PE     3:7     Position  8 = autou  tw

1JO     1:1     Position  1 = EPISTOLH  [IWANNOU
1JO     1:4     Position  8 = hmwn  umwn
1JO     1:5     Position  5 = epaggelia  aggelia
1JO     2:24    Position  0 = 2:24  o
1JO     3:16    Position  6 = oti  tou

2JO     1:1     Position  1 = EPISTOLH  [IWANNOU
2JO     1:3     Position  3 = hmwn  umwn
2JO     1:5     Position  9 = grafw  grafwn

3JO     1:1     Position  1 = EPISTOLH  [IWANNOU
3JO     1:7     Position  5 = exhlyon  autou

JUDE    1:1     Position  1 = EPISTOLH  [IOUDA
JUDE    1:12    Position  9 = afobwv  umin
JUDE    1:19    Position  5 = qucikoi  eautouv
JUDE    1:24    Position  5 = autouv  umav

RE      1:1     Position  1 = APOKALUQIS  [APOKALUQIS
RE      1:11    Position 23 = ekklhsiaiv  epta
RE      2:5     Position 17 = tacei  tacu
RE      2:14    Position 15 = en  ton
RE      3:1     Position 14 = pneumata  epta
RE      3:12    Position 39 = katabainousa  katabainei
RE      4:3     Position 16 = omoiov  omoia
RE      5:11    Position 18 = ciliadev  hn
RE      7:2     Position  5 = anabanta  anabainonta
RE      7:3     Position 14 = sfragizwmen  sfragiswmen
RE      7:10    Position  9 = kayhmenw  yew
RE      7:14    Position 26 = stolav  autav
RE      8:6     Position  5 = econtev  oi
RE      8:11    Position 12 = eiv  twn
RE      9:11    Position  3 = ef  ep
RE      9:19    Position  1 = ai  h
RE      9:20    Position 13 = oute  ou
RE      11:1    Position  7 = legwn  kai
RE      11:2    Position  5 = eswyen  exwyen
RE      11:4    Position  7 = duo  ai
RE      11:14   Position  6 = idou  kai
RE      13:3    Position 19 = eyaumasyh  eyaumasen
RE      14:7    Position 29 = yalassan  thn
RE      14:18   Position 35 = ghv  ampelou
RE      15:3    Position  6 = doulou  tou
RE      16:5    Position 18 = osiov  esomenov
RE      16:14   Position  7 = ekporeuesyai  a
RE      17:4    Position  4 = h  hn
RE      17:8    Position  1 = yhrion  to
RE      18:1    Position  5 = aggelon  allon
RE      18:5    Position  2 = hkolouyhsan  ekollhyhsan
RE      19:14   Position  4 = en  ta
RE      19:16   Position 11 = to  onoma
RE      19:18   Position 23 = kai  te
RE      20:4    Position 57 = ta  cilia
RE      21:13   Position 13 = apo  kai
RE      21:20   Position 14 = enatov  ennatov

                  End Difference List
